grid_id,grid_ix,grid_iy,crime,rentals,restaurants,subway,total_points,x_min,x_max,y_min,y_max,x_centroid,y_centroid,centroid_lon,centroid_lat,cell_area_km2
g_9_34,9,34,122.0,0.0,0.0,0.0,122.0,614000.0,614500.0,4844000.0,4844500.0,614250.0,4844250.0,-79.58110560973967,43.742484169890965,0.25
g_9_35,9,35,229.0,0.0,0.0,0.0,229.0,614000.0,614500.0,4844500.0,4845000.0,614250.0,4844750.0,-79.58099928351095,43.74698474365014,0.25
g_9_37,9,37,10.0,0.0,0.0,0.0,10.0,614000.0,614500.0,4845500.0,4846000.0,614250.0,4845750.0,-79.58078655706373,43.755985879875226,0.25
g_9_38,9,38,9.0,0.0,0.0,0.0,9.0,614000.0,614500.0,4846000.0,4846500.0,614250.0,4846250.0,-79.58068015683153,43.760486442340934,0.25
g_10_9,10,9,84.0,0.0,0.0,0.0,84.0,614500.0,615000.0,4831500.0,4832000.0,614750.0,4831750.0,-79.57755964305122,43.629891658134596,0.25
g_10_10,10,10,48.0,0.0,0.0,0.0,48.0,614500.0,615000.0,4832000.0,4832500.0,614750.0,4832250.0,-79.5774534690168,43.63439231395478,0.25
g_10_11,10,11,17.0,0.0,0.0,0.0,17.0,614500.0,615000.0,4832500.0,4833000.0,614750.0,4832750.0,-79.57734727038459,43.63889296601087,0.25
g_10_12,10,12,57.0,0.0,1.0,0.0,58.0,614500.0,615000.0,4833000.0,4833500.0,614750.0,4833250.0,-79.57724104714778,43.643393614302795,0.25
g_10_13,10,13,19.0,0.0,0.0,0.0,19.0,614500.0,615000.0,4833500.0,4834000.0,614750.0,4833750.0,-79.57713479929957,43.64789425883049,0.25
g_10_14,10,14,30.0,0.0,0.0,0.0,30.0,614500.0,615000.0,4834000.0,4834500.0,614750.0,4834250.0,-79.57702852683315,43.65239489959386,0.25
g_10_15,10,15,15.0,0.0,0.0,0.0,15.0,614500.0,615000.0,4834500.0,4835000.0,614750.0,4834750.0,-79.57692222974168,43.656895536592806,0.25
g_10_16,10,16,12.0,0.0,0.0,0.0,12.0,614500.0,615000.0,4835000.0,4835500.0,614750.0,4835250.0,-79.57681590801839,43.661396169827256,0.25
g_10_17,10,17,15.0,0.0,0.0,0.0,15.0,614500.0,615000.0,4835500.0,4836000.0,614750.0,4835750.0,-79.57670956165643,43.66589679929712,0.25
g_10_18,10,18,4.0,0.0,0.0,0.0,4.0,614500.0,615000.0,4836000.0,4836500.0,614750.0,4836250.0,-79.576603190649,43.6703974250023,0.25
g_10_20,10,20,5.0,0.0,0.0,0.0,5.0,614500.0,615000.0,4837000.0,4837500.0,614750.0,4837250.0,-79.57639037467038,43.67939866511833,0.25
g_10_21,10,21,6.0,0.0,0.0,0.0,6.0,614500.0,615000.0,4837500.0,4838000.0,614750.0,4837750.0,-79.57628392968556,43.68389927952899,0.25
g_10_22,10,22,119.0,0.0,3.0,0.0,122.0,614500.0,615000.0,4838000.0,4838500.0,614750.0,4838250.0,-79.57617746002794,43.688399890174644,0.25
g_10_23,10,23,33.0,0.0,3.0,0.0,36.0,614500.0,615000.0,4838500.0,4839000.0,614750.0,4838750.0,-79.5760709656907,43.6929004970552,0.25
g_10_24,10,24,3.0,0.0,0.0,0.0,3.0,614500.0,615000.0,4839000.0,4839500.0,614750.0,4839250.0,-79.575964446667,43.69740110017056,0.25
g_10_25,10,25,48.0,0.0,1.0,0.0,49.0,614500.0,615000.0,4839500.0,4840000.0,614750.0,4839750.0,-79.57585790295002,43.70190169952066,0.25
g_10_26,10,26,39.0,0.0,0.0,0.0,39.0,614500.0,615000.0,4840000.0,4840500.0,614750.0,4840250.0,-79.5757513345329,43.7064022951054,0.25
g_10_27,10,27,0.0,0.0,2.0,0.0,2.0,614500.0,615000.0,4840500.0,4841000.0,614750.0,4840750.0,-79.57564474140878,43.710902886924714,0.25
g_10_28,10,28,37.0,0.0,0.0,0.0,37.0,614500.0,615000.0,4841000.0,4841500.0,614750.0,4841250.0,-79.57553812357085,43.7154034749785,0.25
g_10_29,10,29,41.0,0.0,0.0,0.0,41.0,614500.0,615000.0,4841500.0,4842000.0,614750.0,4841750.0,-79.57543148101223,43.71990405926668,0.25
g_10_30,10,30,76.0,0.0,0.0,0.0,76.0,614500.0,615000.0,4842000.0,4842500.0,614750.0,4842250.0,-79.57532481372607,43.72440463978918,0.25
g_10_31,10,31,66.0,0.0,1.0,0.0,67.0,614500.0,615000.0,4842500.0,4843000.0,614750.0,4842750.0,-79.57521812170553,43.72890521654588,0.25
g_10_32,10,32,69.0,0.0,0.0,0.0,69.0,614500.0,615000.0,4843000.0,4843500.0,614750.0,4843250.0,-79.57511140494375,43.733405789536725,0.25
g_10_33,10,33,68.0,0.0,0.0,0.0,68.0,614500.0,615000.0,4843500.0,4844000.0,614750.0,4843750.0,-79.57500466343386,43.73790635876162,0.25
g_10_34,10,34,33.0,0.0,0.0,0.0,33.0,614500.0,615000.0,4844000.0,4844500.0,614750.0,4844250.0,-79.57489789716901,43.74240692422051,0.25
g_10_36,10,36,8.0,0.0,0.0,0.0,8.0,614500.0,615000.0,4845000.0,4845500.0,614750.0,4845250.0,-79.57468429034691,43.75140804383982,0.25
g_10_37,10,37,34.0,0.0,0.0,0.0,34.0,614500.0,615000.0,4845500.0,4846000.0,614750.0,4845750.0,-79.57457744977593,43.75590859800011,0.25
g_10_38,10,38,55.0,0.0,0.0,0.0,55.0,614500.0,615000.0,4846000.0,4846500.0,614750.0,4846250.0,-79.57447058442251,43.76040914839401,0.25
g_10_39,10,39,15.0,0.0,0.0,0.0,15.0,614500.0,615000.0,4846500.0,4847000.0,614750.0,4846750.0,-79.57436369427975,43.76490969502147,0.25
g_11_1,11,1,0.0,0.0,1.0,0.0,1.0,615000.0,615500.0,4827500.0,4828000.0,615250.0,4827750.0,-79.57221574068603,43.5938090922935,0.25
g_11_8,11,8,6.0,0.0,0.0,0.0,6.0,615000.0,615500.0,4831000.0,4831500.0,615250.0,4831250.0,-79.5714701515444,43.62531373030948,0.25
